ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1781506357362,2073482,4.294336,-3.6524606,8.080919,0.0012217305,-0.0012217305,0.0012217305,71
1781506357405,2074661,4.212904,-3.6309052,8.143191,0.0012217305,-0.0036651916,0.0,71
1781506357442,2075899,4.184163,-3.62372,8.186302,0.0012217305,0.0,-0.0012217305,71
1781506357481,2077155,4.24883,-3.5710287,8.121635,0.002443461,0.004886922,0.0,71
1781506357520,2078549,4.229669,-3.6285102,8.1000805,0.002443461,0.0012217305,-0.0012217305,71
1781506357561,2078549,4.229669,-3.6285102,8.1000805,0.0036651916,0.0,0.0012217305,71
1781506357600,2079823,4.217694,-3.5925844,8.140796,0.0,-0.002443461,0.002443461,71
1781506357641,2081256,4.1793733,-3.6356952,8.136005,0.0061086523,0.002443461,0.002443461,71
1781506357681,2084032,4.165003,-3.5518684,8.150376,-0.009773844,-0.002443461,-0.004886922,71
1781506357724,2084032,4.165003,-3.5518684,8.150376,-0.0061086523,0.002443461,-0.004886922,71
1781506357762,2085554,4.212904,-3.671621,8.10966,0.0,0.0,-0.0061086523,71
1781506357802,2086002,4.2009287,-3.5901892,8.0905,-0.0061086523,-0.0061086523,-0.004886922,71
1781506357842,2086002,4.2009287,-3.5901892,8.0905,0.004886922,-0.002443461,-0.0012217305,71
1781506357883,2081056,4.220089,-3.5351028,8.136005,-0.0061086523,-0.002443461,0.002443461,71
1781506357920,2079686,4.220089,-3.621325,8.179117,-0.0012217305,-0.0012217305,-0.0036651916,71
1781506357961,2079686,4.220089,-3.621325,8.179117,-0.0012217305,-0.002443461,-0.002443461,71
1781506358002,2078658,4.2344594,-3.5997694,8.052179,-0.002443461,-0.002443461,0.004886922,71
1781506358040,2078303,4.1434474,-3.6476705,8.10966,0.0036651916,0.0,-0.004886922,71
1781506358082,2078431,4.145842,-3.5973744,8.052179,-0.007330383,0.0,-0.007330383,71
1781506358125,2078463,4.227274,-3.657251,8.140796,-0.004886922,-0.0036651916,-0.004886922,71
1781506358169,2078651,4.2320642,-3.6069546,8.12882,-0.0036651916,-0.004886922,-0.004886922,71
1781506358200,2079085,4.1913486,-3.6309052,8.121635,-0.004886922,-0.004886922,-0.007330383,71
